Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage
GCA_024704505.1	Pyricularia oryzae	ASM2470450v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143012	2022-08-16	University of Bedfordshire	41132665	1471	58809	58809	128.04
GCA_024704515.1	Pyricularia oryzae	ASM2470451v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143011	2022-08-16	University of Bedfordshire	41650482	1220	65604	65604	118.55
GCA_024704575.1	Pyricularia oryzae	ASM2470457v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143010	2022-08-16	University of Bedfordshire	41704176	1493	53543	53543	111.36
GCA_024704605.1	Pyricularia oryzae	ASM2470460v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143009	2022-08-16	University of Bedfordshire	41388510	1401	53440	53440	105.22
GCA_024704625.1	Pyricularia oryzae	ASM2470462v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143008	2022-08-16	University of Bedfordshire	41533915	1269	63806	63806	103.73
GCA_024704655.1	Pyricularia oryzae	ASM2470465v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143007	2022-08-16	University of Bedfordshire	41579359	1544	52067	52067	101.71
GCA_024704685.1	Pyricularia oryzae	ASM2470468v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143006	2022-08-16	University of Bedfordshire	41747166	1478	52230	52230	101.1
GCA_024704695.1	Pyricularia oryzae	ASM2470469v1	Contig	SPAdes v. 3.11.1	Illumina HiSeq	PRJNA418767	SAMN12143005	2022-08-16	University of Bedfordshire	41957450	1586	57318	57318	120.11
GCA_025134795.1	Pyricularia oryzae	ZJE1M_oryza	Scaffold	SPAdes v. 1.4.0	Illumina NovaSeq	PRJNA817219	SAMN26750476	2022-09-12	Jilin Academy of Agricultural Sciences	37799225	1004	106112	114867	50
GCA_025135345.1	Pyricularia oryzae	ZJG1M_oryza	Scaffold	SPAdes v. 1.4.0	Illumina NovaSeq	PRJNA817219	SAMN26750225	2022-09-12	Jilin Academy of Agricultural Sciences	37841042	1034	117886	123987	50
GCA_025473255.1	Pyricularia oryzae	ASM2547325v1	Scaffold	CANU v. 2.1.1	Oxford Nanopore MinION	PRJNA753862	SAMN20714328	2022-09-28	Kansas state University	45519630	124	3333742	3333742	58.6
GCA_025473265.1	Pyricularia oryzae	ASM2547326v1	Contig	CANU v. 2.1.1	Oxford Nanopore MinION	PRJNA753862	SAMN20714326	2022-09-28	Kansas state University	44674728	64	3420154	3420154	56.67
GCA_025473275.1	Pyricularia oryzae	ASM2547327v1	Contig	CANU v. 1.9	Oxford Nanopore MinION	PRJNA753862	SAMN20714324	2022-09-28	Kansas state University	44459350	73	4188193	4188193	50.15
GCA_025473285.1	Pyricularia oryzae	ASM2547328v1	Contig	CANU v. 2.1.1	Oxford Nanopore MinION	PRJNA753862	SAMN20714327	2022-09-28	Kansas state University	44722005	88	2984647	2984647	31.64
GCA_025473295.1	Pyricularia oryzae	ASM2547329v1	Scaffold	CANU v. 2.1.1	Oxford Nanopore MinION	PRJNA753862	SAMN20714325	2022-09-28	Kansas state University	45007896	136	1562235	1562235	25.21
GCA_025473435.1	Pyricularia oryzae	ASM2547343v1	Contig	CANU v. 1.9	Oxford Nanopore MinION	PRJNA753862	SAMN20714323	2022-09-28	Kansas state University	44462687	24	5150716	5150716	61.66
GCA_025473445.1	Pyricularia oryzae	ASM2547344v1	Contig	CANU v. 1.9	Oxford Nanopore MinION	PRJNA753862	SAMN20714322	2022-09-28	Kansas state University	44393497	33	4365759	4365759	117.14
GCA_025473575.1	Pyricularia oryzae	ASM2547357v1	Contig	CANU v. 1.9	Oxford Nanopore MinION	PRJNA753862	SAMN20714321	2022-09-28	Kansas state University	44816243	182	1337757	1337757	16.12
GCA_025727595.1	Pyricularia oryzae	ASM2572759v1	Contig	MaSuRCA v. 3.3.3	Oxford Nanopore MinION; Illumina	PRJNA881958	SAMN30921126	2022-10-17	The Sainsbury Laboratory	47905671	39	3032991	3032991	235
GCA_026170115.1	Pyricularia oryzae	Rep1-bas4#3	Contig	CANU v. 2.0	Oxford Nanopore MinION	PRJNA753862	SAMN29985040	2022-11-14	Kansas state University	45835137	204	1845737	1845737	22.52
GCA_026170125.1	Pyricularia oryzae	Rep1-bas4#11	Contig	CANU v. 2.0	Oxford Nanopore MinION	PRJNA753862	SAMN29985041	2022-11-14	Kansas state University	45796476	263	849061	849061	21.44
GCA_026170135.1	Pyricularia oryzae	Rep1-bas4#2	Contig	CANU v. 2.0	Oxford Nanopore MinION	PRJNA753862	SAMN29985039	2022-11-14	Kansas state University	45520154	232	845321	845321	19.06
GCA_026261775.1	Pyricularia oryzae	ZM1-2.v0.43	Chromosome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA849498	SAMN29254577	2022-12-02	Kansas State University	44974979	12	6045076	6045076	60
GCA_030512215.1	Pyricularia oryzae	TGR2_hybrid_assembly	Chromosome	SPAdes v. 3.14	PacBio RSII	PRJNA825294	SAMN27511241	2023-07-26	National Science and Technology Development Agency	38916680	3234	152159	5827256	80
GCA_030718865.1	Pyricularia oryzae	ASM3071886v1	Chromosome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1002604	SAMN36849576	2023-08-14	Kansas State University	41682104	9	6136143	6306421	150
GCA_031001895.1	Pyricularia oryzae	ASM3100189v1	Scaffold	Velvet v. 2023-02-28	Illumina NovaSeq	PRJNA926786	SAMN33023181	2023-08-30	University of Kentucky	39978738	8950	10459	25643	60.929
GCA_031002315.1	Pyricularia oryzae	ASM3100231v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33024728	2023-08-30	University of Kentucky	41348831	8972	13034	18175	40.7965
GCA_031208665.1	Pyricularia oryzae	T29_UKY_PO	Scaffold	Velvet v. FEB-2023	Illumina NovaSeq	PRJNA926786	SAMN33023215	2023-09-07	University of Kentucky	44054931	12454	12037	38724	27
GCA_031208675.1	Pyricularia oryzae	ASM3120867v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN32979421	2023-09-07	University of Kentucky	40493166	9286	9967	38129	58
GCA_031208725.1	Pyricularia oryzae	ASM3120872v1	Contig	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33023214	2023-09-07	University of Kentucky	39770362	1978	118202	118202	40
GCA_031211395.1	Pyricularia oryzae	ASM3121139v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33023130	2023-09-07	University of Kentucky	37840603	10340	10099	24999	116.384
GCA_031212055.1	Pyricularia oryzae	ASM3121205v1	Contig	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33018055	2023-09-07	University of Kentucky	42058027	2590	55184	55184	166
GCA_031306055.1	Pyricularia oryzae	ASM3130605v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN32979412	2023-09-08	University of Kentucky	43845043	9384	9752	13678	35
GCA_031306085.1	Pyricularia oryzae	ASM3130608v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33023180	2023-09-08	University of Kentucky	35951648	36416	1297	5661	18
GCA_031466475.1	Pyricularia oryzae	ASM3146647v1	Contig	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33037742	2023-09-14	University of Kentucky	39330571	6352	17944	17944	20
GCA_031466495.1	Pyricularia oryzae	ASM3146649v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN33023234	2023-09-14	University of Kentucky	40075611	8015	11899	38125	21
GCA_032881745.1	Pyricularia oryzae	JA119_contigs_nh.fasta	Scaffold	Velvet v. FEB-2023	Illumina	PRJNA926786	SAMN33013233	2023-09-05	University of Kentucky	40275392	6910	15510	44160	85
GCA_033035085.1	Pyricularia oryzae	ASM3303508v1	Scaffold	Velvet v. 1.2.10	Illumina MiniSeq	PRJNA607937	SAMN14153273	2023-10-25	University of Kentucky	43244095	4529	40598	105804	37
GCA_033035115.1	Pyricularia oryzae	ASM3303511v1	Scaffold	Velvet v. 1.2.11	Illumina MiniSeq	PRJNA607937	SAMN14153274	2023-10-25	University of Kentucky	42718462	9508	19036	62797	36
GCA_033035145.1	Pyricularia oryzae	ASM3303514v1	Scaffold	Velvet v. 1.2.12	Illumina MiniSeq	PRJNA607937	SAMN14153275	2023-10-25	University of Kentucky	43853137	8128	25856	103210	40
GCA_033875275.1	Pyricularia oryzae	ASM3387527v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN32979455	2023-11-20	University of Kentucky	43329010	6540	17484	88629	49
GCA_033875295.1	Pyricularia oryzae	ASM3387529v1	Scaffold	Velvet v. 1.2.10	IlluminaSeq	PRJNA926786	SAMN33020648	2023-11-20	University of Kentucky	37458192	6006	13278	57082	52
GCA_036172685.1	Pyricularia oryzae	TF05-1MC7Ref1	Chromosome	Canu v. 2.0	Oxford Nanopore MinION	PRJNA750760	SAMN36850036	2024-01-31	Kansas State University	45513680	11	6099538	6099538	100
GCA_036493215.1	Pyricularia oryzae	Br48_v3	Complete Genome	HGAP, CLC Genomics workbench v. 11.0.1	PacBio2; Illumina MiSeq;Illumina HiSeq	PRJDB14561	SAMD00549507	2023-08-24	Cell function and structure, Graduate School of Agricultural Sciences, Kobe University	42501442	7	6276809	6276809	250
GCA_043231905.1	Pyricularia oryzae	KSU_PyrO_219_1	Chromosome	Canu v. 2.2.1	Oxford Nanopore MinION	PRJNA1006359	SAMN37099171	2024-10-16	Kansas State University	46767474	13	6382644	6382644	149.3
GCA_043231915.1	Pyricularia oryzae	KSU_PyrO_137_1	Chromosome	Canu v. 2.2.1	Oxford Nanopore MinION	PRJNA1006359	SAMN37099170	2024-10-16	Kansas State University	44200050	9	5522887	5740312	62.1
GCA_043231925.1	Pyricularia oryzae	KSU_PyrO_135_1	Chromosome	Canu v. 1.9	Oxford Nanopore MinION	PRJNA1006359	SAMN37099169	2024-10-16	Kansas State University	44468491	10	5950546	5950546	131.9
GCA_046629725.1	Pyricularia oryzae	UK_UFVPY113	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732780	2025-01-14	University of Kentucky	43297333	5570	17145	70336	57.66
GCA_046629885.1	Pyricularia oryzae	UK_UFVPY166	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732776	2025-01-14	University of Kentucky	39659620	6990	16044	84342	82
GCA_046718435.1	Pyricularia oryzae	UK_UFVPY232	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732783	2025-01-15	University of Kentucky	41801214	3639	31332	83582	63.1574
GCA_046718735.1	Pyricularia oryzae	KSU_PyrO_Guy11_1	Chromosome	Canu v. 2.2.1	Oxford Nanopore MinION	PRJNA1006359	SAMN37608890	2025-01-17	Kansas State University	42607926	14	5802300	6590161	86.6
GCA_046865825.1	Pyricularia oryzae	LmSM248	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN40727758	2025-01-21	University of Kentucky	43800694	8528	15869	67659	84
GCA_046866195.1	Pyricularia oryzae	UK_UFVPY231	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732784	2025-01-21	University of Kentucky	44394824	6589	16712	101661	67
GCA_047301875.1	Pyricularia oryzae	UK_U249	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732779	2025-01-29	University of Kentucky	40880654	6176	19144	104435	88
GCA_047323615.1	Pyricularia oryzae	ASM4732361v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732774	2025-01-30	University of Kentucky	43059422	10308	12095	34587	48
GCA_047323675.1	Pyricularia oryzae	ASM4732367v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732775	2025-01-30	University of Kentucky	43369703	6639	16894	75381	76
GCA_047323685.1	Pyricularia oryzae	ASM4732368v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732785	2025-01-30	University of Kentucky	44675066	9951	14614	62392	89.9
GCA_047323795.1	Pyricularia oryzae	ASM4732379v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732778	2025-01-30	University of Kentucky	41228753	4277	26995	77753	56.12
GCA_047323855.1	Pyricularia oryzae	ASM4732385v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN41434657	2025-01-30	University of Kentucky	42994851	5243	24538	66750	80
GCA_047323865.1	Pyricularia oryzae	ASM4732386v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732782	2025-01-30	University of Kentucky	42156087	3469	32549	76417	69.25
GCA_048987255.1	Pyricularia oryzae	ASM4898725v1	Scaffold	Velvet v. 1.12.0	Illumina NovaSeq	PRJNA926786	SAMN39732789	2025-03-26	University of Kentucky	41826850	3844	30541	87678	83
GCA_049190995.1	Pyricularia oryzae	ASM4919099v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39733236	2025-03-31	University of Kentucky	44594106	11234	13939	67678	87
GCA_049309555.1	Pyricularia oryzae	UK_UFVPY198	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN39732781	2025-04-04	University of Kentucky	38928783	5656	17832	98072	82
GCA_049355315.1	Pyricularia oryzae	ASM4935531v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804022	2025-04-08	Brazilian Agricultural Research Corporation	43016526	1175	134922	6144003	114
GCA_049355325.1	Pyricularia oryzae	ASM4935532v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804020	2025-04-08	Brazilian Agricultural Research Corporation	42979565	944	148174	6163044	93
GCA_049355335.1	Pyricularia oryzae	ASM4935533v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804015	2025-04-08	Brazilian Agricultural Research Corporation	42019977	987	135058	6044138	109
GCA_049355375.1	Pyricularia oryzae	ASM4935537v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804009	2025-04-08	Brazilian Agricultural Research Corporation	42870903	1054	137613	6273795	140
GCA_049355395.1	Pyricularia oryzae	ASM4935539v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804030	2025-04-08	Brazilian Agricultural Research Corporation	43021031	1246	134959	6149646	92
GCA_049355405.1	Pyricularia oryzae	ASM4935540v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804025	2025-04-08	Brazilian Agricultural Research Corporation	43074183	986	152340	6232963	122
GCA_049355415.1	Pyricularia oryzae	ASM4935541v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804029	2025-04-08	Brazilian Agricultural Research Corporation	43025429	954	150407	6250136	112
GCA_049735435.1	Pyricularia oryzae	ASM4973543v1	Complete Genome	HiCanu v. 2.2	PacBio SequelI	PRJNA1210831	SAMN46257954	2025-04-17	Chinese Academy of Sciences	43463497	7	6853756	6853756	173
GCA_049996535.1	Pyricularia oryzae	T29.1	Scaffold	Velvet v. 1.2.10	Illumina	PRJNA926786	SAMN39732777	2025-04-29	University of Kentucky	42284672	5844	14415	64165	37
GCA_050140945.1	Pyricularia oryzae	ASM5014094v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111389	2025-05-05	Fujian Agriculture and Forestry University	42650632	119	5436533	5436533	150
GCA_050140955.1	Pyricularia oryzae	ASM5014095v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43143353	2025-05-05	Fujian Agriculture and Forestry University	41891141	83	5443991	5443991	100
GCA_050140975.1	Pyricularia oryzae	ASM5014097v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111390	2025-05-05	Fujian Agriculture and Forestry University	41386469	79	4806363	4806363	130
GCA_050141065.1	Pyricularia oryzae	ASM5014106v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111387	2025-05-05	Fujian Agriculture and Forestry University	42559394	105	4793887	4793887	170
GCA_050141075.1	Pyricularia oryzae	ASM5014107v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111386	2025-05-05	Fujian Agriculture and Forestry University	41779481	67	5444627	5444627	120
GCA_050141105.1	Pyricularia oryzae	ASM5014110v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111388	2025-05-05	Fujian Agriculture and Forestry University	35218470	120	4785008	4785008	140
GCA_050141145.1	Pyricularia oryzae	ASM5014114v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111385	2025-05-05	Fujian Agriculture and Forestry University	41617990	106	4953908	4953908	90
GCA_050141165.1	Pyricularia oryzae	ASM5014116v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111384	2025-05-05	Fujian Agriculture and Forestry University	40376776	66	4779076	4779076	110
GCA_050141175.1	Pyricularia oryzae	ASM5014117v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111383	2025-05-05	Fujian Agriculture and Forestry University	46018840	145	5867634	5867634	140
GCA_050141245.1	Pyricularia oryzae	ASM5014124v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111382	2025-05-05	Fujian Agriculture and Forestry University	40816409	58	5904295	5904295	120
GCA_050141255.1	Pyricularia oryzae	ASM5014125v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111380	2025-05-05	Fujian Agriculture and Forestry University	48373624	112	4608212	4608212	110
GCA_050141285.1	Pyricularia oryzae	ASM5014128v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111379	2025-05-05	Fujian Agriculture and Forestry University	49011405	112	4300898	4300898	100
GCA_050141325.1	Pyricularia oryzae	ASM5014132v1	Contig	Canu v. 2.2	PacBio Sequel	PRJNA1146767	SAMN43111378	2025-05-05	Fujian Agriculture and Forestry University	46780765	54	4273260	4273260	90
GCA_050157325.1	Pyricularia oryzae	ASM5015732v1	Complete Genome	Canu v. 2.2	Oxford Nanopore PromethION	PRJNA1146767	SAMN43111381	2025-05-06	Fujian Agriculture and Forestry University	47777704	9	6738481	6738481	360
GCA_050157855.1	Pyricularia oryzae	ASM5015785v1	Complete Genome	Canu v. 2.2	Oxford Nanopore PromethION	PRJNA1146767	SAMN43111376	2025-05-06	Fujian Agriculture and Forestry University	45859373	9	6551064	6551064	420
GCA_050157985.1	Pyricularia oryzae	ASM5015798v1	Complete Genome	Canu v. 2.2	PacBio	PRJNA1146767	SAMN43111377	2025-05-06	Fujian Agriculture and Forestry University	42973823	7	6773983	6773983	160
GCA_050656645.1	Pyricularia oryzae	95HPH-4-hifi	Contig	canu v. 2.2	PacBio	PRJNA1146767	SAMN43143354	2025-06-02	Fujian Agriculture and Forestry University	46065458	39	4850927	4850927	110
GCA_050656755.1	Pyricularia oryzae	HCTi.v1.0.fasta	Contig	hifiasm v. v0.24.0-r703	PacBio	PRJNA1146767	SAMN48319862	2025-06-02	Fujian Agriculture and Forestry University	46771724	18	6015361	6015361	110
GCA_052055085.1	Pyricularia oryzae	ASM5205508v1	Contig	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN47132510	2025-08-15	University of Kentucky	43958104	4161	45817	45817	40
GCA_052855805.1	Pyricularia oryzae	ASM5285580v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000585	2025-09-26	Yunnan Agricultural University	35749546	1804	53121	392306	69.68
GCA_052855865.1	Pyricularia oryzae	ASM5285586v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000583	2025-09-26	Yunnan Agricultural University	35985680	1616	66293	341091	47.22
GCA_052855885.1	Pyricularia oryzae	ASM5285588v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000582	2025-09-26	Yunnan Agricultural University	36515767	2436	64389	385645	62.66
GCA_052855925.1	Pyricularia oryzae	ASM5285592v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000580	2025-09-26	Yunnan Agricultural University	35919248	1481	112488	340729	151.64
GCA_052855945.1	Pyricularia oryzae	ASM5285594v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000581	2025-09-26	Yunnan Agricultural University	36195685	1679	108666	421978	75.78
GCA_052855965.1	Pyricularia oryzae	ASM5285596v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000579	2025-09-26	Yunnan Agricultural University	36504568	1941	126450	465211	162
GCA_052856025.1	Pyricularia oryzae	ASM5285602v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000578	2025-09-26	Yunnan Agricultural University	36390158	1609	141178	396472	101.37
GCA_052856045.1	Pyricularia oryzae	ASM5285604v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000577	2025-09-26	Yunnan Agricultural University	36050013	1509	108750	401822	195.53
GCA_052856065.1	Pyricularia oryzae	ASM5285606v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000576	2025-09-26	Yunnan Agricultural University	36258741	1941	62617	464693	86.16
GCA_052856105.1	Pyricularia oryzae	ASM5285610v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000575	2025-09-26	Yunnan Agricultural University	35140262	2518	37359	278737	79.76
GCA_052856125.1	Pyricularia oryzae	ASM5285612v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000573	2025-09-26	Yunnan Agricultural University	35526430	1871	50930	337776	65.53
GCA_052856145.1	Pyricularia oryzae	ASM5285614v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000574	2025-09-26	Yunnan Agricultural University	35735816	1733	61117	340066	80.04
GCA_052856185.1	Pyricularia oryzae	ASM5285618v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000572	2025-09-26	Yunnan Agricultural University	35729271	3872	24577	222918	134.58
GCA_052856215.1	Pyricularia oryzae	ASM5285621v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000570	2025-09-26	Yunnan Agricultural University	35957232	1472	64785	230251	60.39
GCA_052856235.1	Pyricularia oryzae	ASM5285623v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000571	2025-09-26	Yunnan Agricultural University	36427873	1670	78604	459667	153.54
GCA_052856275.1	Pyricularia oryzae	ASM5285627v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000569	2025-09-26	Yunnan Agricultural University	35721706	1568	66469	351457	66.76
GCA_052856295.1	Pyricularia oryzae	ASM5285629v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000568	2025-09-26	Yunnan Agricultural University	36487037	1860	97947	409053	65.78
GCA_052856315.1	Pyricularia oryzae	ASM5285631v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000567	2025-09-26	Yunnan Agricultural University	36495757	1823	98321	453351	68.53
GCA_052856355.1	Pyricularia oryzae	ASM5285635v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000566	2025-09-26	Yunnan Agricultural University	35806712	1878	61338	355899	84.77
GCA_052856375.1	Pyricularia oryzae	ASM5285637v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000565	2025-09-26	Yunnan Agricultural University	35857007	1403	72541	351573	100.18
GCA_052856415.1	Pyricularia oryzae	ASM5285641v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000564	2025-09-26	Yunnan Agricultural University	35929656	1531	72285	355853	56.98
GCA_052856435.1	Pyricularia oryzae	ASM5285643v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000563	2025-09-26	Yunnan Agricultural University	35399221	1455	73526	306560	78.62
GCA_052856455.1	Pyricularia oryzae	ASM5285645v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000562	2025-09-26	Yunnan Agricultural University	35704414	1740	66320	391684	63.03
GCA_052856475.1	Pyricularia oryzae	ASM5285647v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000560	2025-09-26	Yunnan Agricultural University	35494232	9787	6037	105224	250.15
GCA_052856495.1	Pyricularia oryzae	ASM5285649v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000559	2025-09-26	Yunnan Agricultural University	35196550	1468	72967	307719	51.9
GCA_052856515.1	Pyricularia oryzae	ASM5285651v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000554	2025-09-26	Yunnan Agricultural University	35055396	1648	97525	242217	97.42
GCA_052856535.1	Pyricularia oryzae	ASM5285653v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000558	2025-09-26	Yunnan Agricultural University	36111846	1698	130035	337629	141.28
GCA_052856575.1	Pyricularia oryzae	ASM5285657v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000553	2025-09-26	Yunnan Agricultural University	36359683	1775	81039	464963	103.43
GCA_052856615.1	Pyricularia oryzae	ASM5285661v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000552	2025-09-26	Yunnan Agricultural University	36464694	2096	58211	340504	78.88
GCA_052856635.1	Pyricularia oryzae	ASM5285663v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000551	2025-09-26	Yunnan Agricultural University	35107890	1736	80362	352893	77.43
GCA_052856655.1	Pyricularia oryzae	ASM5285665v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000550	2025-09-26	Yunnan Agricultural University	35917835	1830	73960	391765	79.55
GCA_052856695.1	Pyricularia oryzae	ASM5285669v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000549	2025-09-26	Yunnan Agricultural University	35794952	1438	59431	309832	70.58
GCA_052856715.1	Pyricularia oryzae	ASM5285671v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000548	2025-09-26	Yunnan Agricultural University	36319609	1839	85269	450771	66.84
