accession	organism_name	strain	tax_id	assembly_level	assembly_status	release_date	submitter	refseq_category	sequencing_tech_raw	tech_category	biosample_accession	host	isolation_source	geo_loc_name	collection_date	total_sequence_length	total_ungapped_length	number_of_contigs	contig_n50	contig_l50	number_of_scaffolds	scaffold_n50	scaffold_l50	total_number_of_chromosomes	gc_percent	assembly_name	is_t2t_flagged	is_gapless_chromosome_level
GCA_003016665.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050107	Oryza sativa	not collected	China: Jiangxi	2010	37636355	37627779	2110	85519	110	1959	90344	106		52	ASM301666v1	False	False
GCA_052856935.1	Pyricularia oryzae	YN398	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000537	Oryza sativa		China: Yunnan	2011-08-12	36616531	36365632	1977	85331	122	624	470970	26		52	ASM5285693v1	False	False
GCA_052856715.1	Pyricularia oryzae	YN463	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000548	Oryza sativa		China: Yunnan	1995-09-16	36319609	36103486	1839	85269	129	660	450771	27		52	ASM5285671v1	False	False
GCA_003016555.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050136	Oryza sativa	not collected	China: Yunnan	2007	39303591	39249139	2873	84306	120	2213	152964	64		51.5	ASM301655v1	False	False
GCA_003016015.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050098	Oryza sativa	not collected	China: Hubei	2009	38201480	38190476	2194	84089	130	2005	86656	126		52	ASM301601v1	False	False
GCA_003016575.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050144	Oryza sativa	not collected	China: Yunnan	1987	37375355	37333032	2021	83101	124	1548	114324	96		51.5	ASM301657v1	False	False
GCA_003016275.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050104	Oryza sativa	not collected	China: Jiangsu	2008	38199718	38184469	2197	82576	115	1976	90787	106		52	ASM301627v1	False	False
GCA_002218465.1	Pyricularia oryzae	B2	318829	Scaffold	current	2017-07-14	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN05580113	Triticum aestivum	wheat head	Bolivia: Okinawa Uno	2011-04-05	41771944	41768461	1409	81481	154	1332	81851	152		50.5	ASM221846v1	False	False
GCA_003016195.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050097	Oryza sativa	not collected	China: Guangdong	2008	37973670	37963235	2174	81400	119	2008	87325	114		52	ASM301619v1	False	False
GCA_003017255.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050145	Oryza sativa	not collected	China: Zhejiang	2000	37851311	37840645	2054	81284	130	1875	85055	120		52	ASM301725v1	False	False
GCA_052856575.1	Pyricularia oryzae	YN485	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000553	Oryza sativa		China: Yunnan	1995-09-16	36359683	36161534	1775	81039	137	580	464963	27		52	ASM5285657v1	False	False
GCA_002368525.1	Pyricularia oryzae	GUY11	318829	Scaffold	current	2017-09-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050151	Oryza sativa	not collected	Guyana	1978	37490204	37391955	2000	80464	133	1182	180736	58		51.5	ASM236852v1	False	False
GCA_052856635.1	Pyricularia oryzae	YN477	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000551	Oryza sativa		China: Yunnan	2011-08-12	35107890	34903710	1736	80362	117	642	352893	29		52	ASM5285663v1	False	False
GCA_003016625.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050146	Oryza sativa	not collected	China: Zhejiang	2008	37823351	37813120	2044	80343	139	1871	81987	132		52	ASM301662v1	False	False
GCA_003016395.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050115	Oryza sativa	not collected	China: Sichuan	2010	38329806	38226789	2572	80182	133	1726	121898	82		51.5	ASM301639v1	False	False
GCA_003017025.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050133	Oryza sativa	not collected	China: Taiwan	2011	39199722	39085022	2766	79322	136	1886	119451	90		51.5	ASM301702v1	False	False
GCA_003016465.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050126	Oryza sativa	not collected	China: Taiwan	2005	39227576	39109702	2782	78875	139	1861	114183	83		51.5	ASM301646v1	False	False
GCA_052856235.1	Pyricularia oryzae	YN643	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000571	Oryza sativa		China: Yunnan	2011-08-12	36427873	36266506	1670	78604	136	546	459667	26		52	ASM5285623v1	False	False
GCA_003015545.1	Pyricularia oryzae	DB11-621	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050068	Oryza sativa	not collected	China: Liaoning	2002	38331944	38318850	2241	78574	133	2046	78953	129		52	ASM301554v1	False	False
GCA_002368515.1	Pyricularia oryzae	FJ81278	318829	Scaffold	current	2017-09-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050150	Oryza sativa	not collected	China: Fujian	1981	38028932	37882316	2454	77792	129	1415	156610	62		51.5	ASM236851v1	False	False
GCA_003015935.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050089	Oryza sativa	not collected	China: Fujian	1986	39062630	38941746	2691	76666	141	1749	124066	80		51.5	ASM301593v1	False	False
GCA_003016105.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050087	Oryza sativa	not collected	China: Fujian	1981	38559090	38468470	2831	76553	138	2049	122171	85		51.5	ASM301610v1	False	False
GCA_003016805.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050118	Oryza sativa	not collected	China: Taiwan	2012	38969147	38853509	2757	76034	141	1864	123226	81		51.5	ASM301680v1	False	False
GCA_052857965.1	Pyricularia oryzae	YN125	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000502	Oryza sativa		China: Yunnan	1997-09-20	35645740	35419594	1846	75377	132	660	240760	36		52	ASM5285796v1	False	False
GCA_052858155.1	Pyricularia oryzae	YN010	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000487	Oryza sativa		China: Yunnan	1995-09-16	35936531	35693873	1956	75222	132	630	290305	34		52	ASM5285815v1	False	False
GCA_003016585.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050142	Oryza sativa	not collected	China: Yunnan	2012	38723087	38681654	2518	75178	132	1959	106915	91		51.5	ASM301658v1	False	False
GCA_003016795.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050116	Oryza sativa	not collected	China: Sichuan	2010	38719370	38606189	2669	74710	144	1798	117377	85		51.5	ASM301679v1	False	False
GCA_905109915.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104365383					43511044	43503396	2174	74327	168	1684	140435	99		50	Assembly of M.oryzae isolate BTJP_4_9 genome	False	False
GCA_052857575.1	Pyricularia oryzae	YN232	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000518	Oryza sativa		China: Yunnan	1995-09-15	35662980	35437490	1805	74087	129	648	278484	35		52	ASM5285757v1	False	False
GCA_052856655.1	Pyricularia oryzae	YN476	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000550	Oryza sativa		China: Yunnan	2011-08-12	35917835	35707142	1830	73960	136	617	391765	29		52	ASM5285665v1	False	False
GCA_052857775.1	Pyricularia oryzae	YN161	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000509	Oryza sativa		China: Yunnan	2011-08-12	35774391	35528561	1914	73696	134	659	317728	32		52	ASM5285777v1	False	False
GCA_052856435.1	Pyricularia oryzae	YN604	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000563	Oryza sativa		China: Yunnan	2007-10-08	35399221	35248017	1455	73526	140	526	306560	33		52	ASM5285643v1	False	False
GCA_003016495.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050129	Oryza sativa	not collected	China: Taiwan	2011	39075819	38965896	2742	73433	141	1850	123739	81		51.5	ASM301649v1	False	False
GCA_001548845.1	Pyricularia oryzae	SV9610	318829	Scaffold	current	2016-02-04	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN04318449	Setaria viridis	not collected	China: Zhejiang	1996	39325514	39126262	3151	73202	155	1546	154236	70		51.5	SV9610	False	False
GCA_052856495.1	Pyricularia oryzae	YN557	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000559	Oryza sativa		China: Yunnan	1994-08-21	35196550	35051708	1468	72967	135	548	307719	33		52	ASM5285649v1	False	False
GCA_003016955.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050127	Oryza sativa	not collected	China: Taiwan	2005	38749593	38640401	2617	72939	131	1715	128591	75		51.5	ASM301695v1	False	False
GCA_002924825.1	Pyricularia oryzae	PL3-1	318829	Contig	current	2018-02-08	International Wheat Blast Consortium		Roche 454	short-read	SAMN08009572	Lolium multiflorum		USA: Pulaski Co., KY	2002	42483483	42483483	1722	72795	171	1722	72795	171		50	ASM292482v1	False	False
GCA_003017035.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050134	Oryza sativa	not collected	Ghana: Weed dabala	2015	38654543	38559610	2743	72664	144	1877	123365	86		51.5	ASM301703v1	False	False
GCA_052856375.1	Pyricularia oryzae	YN617	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000565	Oryza sativa		China: Yunnan	1995-09-19	35857007	35718809	1403	72541	142	494	351573	27		52	ASM5285637v1	False	False
GCA_052856415.1	Pyricularia oryzae	YN608	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000564	Oryza sativa		China: Yunnan	1995-09-18	35929656	35777077	1531	72285	141	562	355853	28		52	ASM5285641v1	False	False
GCA_003016965.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050130	Oryza sativa	not collected	China: Taiwan	2011	38925638	38818661	2760	72132	148	1891	116757	90		51.5	ASM301696v1	False	False
GCA_001548855.1	Pyricularia oryzae	SV9623	318829	Scaffold	current	2016-02-04	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN04318450	Setaria viridis	not collected	China: Zhejiang	1996	39376824	39209190	2869	72025	161	1514	145603	78		51.5	SV9623	False	False
GCA_003016855.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050120	Oryza sativa	not collected	China: Taiwan	2012	38994734	38881039	2818	71960	146	1920	106586	90		51.5	ASM301685v1	False	False
GCA_003016505.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050131	Oryza sativa	not collected	China: Taiwan	2011	38977876	38859358	2878	71639	144	1955	110758	89		51.5	ASM301650v1	False	False
GCA_052856855.1	Pyricularia oryzae	YN410	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000539	Oryza sativa		China: Yunnan	1995-09-16	35617526	35470606	1286	71523	135	532	306080	33		52	ASM5285685v1	False	False
GCA_052856875.1	Pyricularia oryzae	YN427	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000540	Oryza sativa		China: Yunnan	2008-09-23	35947279	35764433	1442	71500	134	590	337745	32		52	ASM5285687v1	False	False
GCA_052858415.1	Pyricularia oryzae	Hei-3	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000594	Oryza sativa		China: Heilongjiang	2013-09-10	35964145	35761752	1536	71173	151	584	340788	32		52	ASM5285841v1	False	False
GCA_003015825.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050083	Oryza sativa	not collected	China: Fujian	1981	38728344	38675978	2471	71138	158	1895	85714	123		51.5	ASM301582v1	False	False
GCA_905109845.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104365381					43574924	43568190	2370	70979	182	1772	153255	83		50	Assembly of M.oryzae isolate BTJP_4_15 genome	False	False
GCA_003016415.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050117	Oryza sativa	not collected	China: Taiwan	2005	39264239	39155845	2863	70726	140	1976	113039	91		51.5	ASM301641v1	False	False
GCA_003016895.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050122	Oryza sativa	not collected	China: Taiwan	2012	39032477	38910746	2735	70711	139	1805	121539	82		51.5	ASM301689v1	False	False
GCA_052857735.1	Pyricularia oryzae	YN179	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000511	Oryza sativa		China: Yunnan	1997-09-20	35884270	35647481	1925	70641	148	664	329033	33		52	ASM5285773v1	False	False
GCA_003016825.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050119	Oryza sativa	not collected	China: Taiwan	2012	38700975	38585107	2738	70178	141	1802	120862	81		51.5	ASM301682v1	False	False
GCA_052857895.1	Pyricularia oryzae	YN154	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000506	Oryza sativa		China: Yunnan	1997-09-20	35973539	35830697	1495	69627	145	519	438530	27		52	ASM5285789v1	False	False
GCA_052857515.1	Pyricularia oryzae	YN247	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000520	Oryza sativa		China: Yunnan	1995-09-16	35443038	35232509	1813	69575	131	681	252685	35		52	ASM5285751v1	False	False
GCA_003016175.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050095	Oryza sativa	not collected	China: Guangdong	2005	37936538	37766307	2844	69063	151	1653	115008	86		51.5	ASM301617v1	False	False
GCA_003016085.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050103	Oryza sativa	not collected	China: Jiangsu	2010	38556164	38343182	2969	68833	148	1667	144157	73		51.5	ASM301608v1	False	False
GCA_003016985.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050132	Oryza sativa	not collected	China: Taiwan	2011	39072033	38957721	2802	68533	148	1894	113814	90		51.5	ASM301698v1	False	False
GCA_003016425.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050124	Oryza sativa	not collected	China: Taiwan	2012	38879255	38758197	2892	68492	148	1927	119600	85		51.5	ASM301642v1	False	False
GCA_003016715.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050110	Oryza sativa	not collected	Ghana: Kade-abaam	2015	39293993	39199948	2758	68433	163	1855	110651	92		51.5	ASM301671v1	False	False
GCA_052857045.1	Pyricularia oryzae	YN391	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000533	Oryza sativa		China: Yunnan	1996-10-12	36098634	35918615	1646	68192	151	512	355975	28		52	ASM5285704v1	False	False
GCA_003016875.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050121	Oryza sativa	not collected	China: Taiwan	2012	39029107	38923764	2668	68031	149	1791	119949	85		51.5	ASM301687v1	False	False
GCA_002218435.1	Pyricularia oryzae	Py5020	318829	Scaffold	current	2017-07-14	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN05762829	Triticum aestivum		Brazil: Parana, Londrina	2013-06-05	42670599	42659368	1559	67755	178	1386	69664	174		50	ASM221843v1	False	False
GCA_002105295.1	Pyricularia oryzae	V86010	318829	Scaffold	current	2017-04-21	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06392751	rice		Philippines: International Rice Research Institute	2008	38934700	38808164	2897	67610	163	1924	93412	117		51.5	ASM210529v1	False	False
GCA_003015555.1	Pyricularia oryzae	FJ0204804	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050069	Oryza sativa	not collected	China: Fujian	2011	38025015	37872762	2764	67502	152	1719	100981	101		52	ASM301555v1	False	False
GCA_003015705.1	Pyricularia oryzae	FJ2001-112B	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050076	Oryza sativa	not collected	China: Fujian	2001	38689525	38566496	2702	67059	144	1697	117832	81		51.5	ASM301570v1	False	False
GCA_003016705.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050109	Oryza sativa	not collected	Ghana: Kade-abaam	2015	39345505	39232267	3124	66815	166	2079	96967	100		51	ASM301670v1	False	False
GCA_003016115.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050091	Oryza sativa	not collected	China: Fujian	1995	38150992	38019071	2835	66607	160	1722	120751	84		51.5	ASM301611v1	False	False
GCA_052858065.1	Pyricularia oryzae	YN084	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000494	Oryza sativa		China: Yunnan	2008-09-23	36002669	35823214	1482	66584	158	581	337866	30		52	ASM5285806v1	False	False
GCA_052856755.1	Pyricularia oryzae	YN460	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000546	Oryza sativa		China: Yunnan	1995-09-16	35860172	35676495	1816	66571	154	584	391494	27		52	ASM5285675v1	False	False
GCA_052856275.1	Pyricularia oryzae	YN640	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000569	Oryza sativa		China: Yunnan	2011-08-12	35721706	35570749	1568	66469	143	512	351457	27		52	ASM5285627v1	False	False
GCA_024704445.1	Pyricularia oryzae	U13	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143015	Eleucine coracana	neck blast	Uganda: Katakwi	2016	42543665	42543665	1291	66396	196	1291	66396	196		50	ASM2470444v1	False	False
GCA_003016035.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050100	Oryza sativa	not collected	China: Hunan	2008	37988177	37822730	2929	66373	159	1712	120406	79		51.5	ASM301603v1	False	False
GCA_052856455.1	Pyricularia oryzae	YN601	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000562	Oryza sativa		China: Yunnan	1995-09-16	35704414	35521890	1740	66320	145	553	391684	27		52	ASM5285645v1	False	False
GCA_052855865.1	Pyricularia oryzae	YN745	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000583	Oryza sativa		China: Yunnan	1997-09-12	35985680	35800951	1616	66293	150	577	341091	27		52	ASM5285586v1	False	False
GCA_003015495.1	Pyricularia oryzae	BJ-90-611	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050066	Oryza sativa	not collected	China: Beijing	1990	38421385	38234621	3096	66178	180	1771	116633	97		51.5	ASM301549v1	False	False
GCA_052857795.1	Pyricularia oryzae	YN158	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000508	Oryza sativa		China: Yunnan	2011-08-12	35551967	35352528	1847	66005	147	610	337623	31		52	ASM5285779v1	False	False
GCA_024704145.1	Pyricularia oryzae	D14/s30	318829	Scaffold	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN15040825	Eleucine coracana	leaf	Uganda:Kabermaido	2001	43610565	43608599	1883	65963	173	1768	71939	158		49.5	ASM2470414v1	False	False
GCA_003015595.1	Pyricularia oryzae	FJ11YD-673-1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050071	Oryza sativa	not collected	China: Fujian	2012	38340962	38210738	2788	65920	168	1693	107578	92		51.5	ASM301559v1	False	False
GCA_003015955.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050090	Oryza sativa	not collected	China: Fujian	1995	38253203	38117041	2684	65727	163	1598	127319	75		51.5	ASM301595v1	False	False
GCA_024704515.1	Pyricularia oryzae	K13/67	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143011	Eleucine coracana	neck blast	Kenya: Teso	2000	41650482	41650482	1220	65604	195	1220	65604	195		50	ASM2470451v1	False	False
GCA_052858375.1	Pyricularia oryzae	Hu-2	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000596	Oryza sativa		China: Hunan	2014-06-20	36008242	35766567	1946	65231	163	634	312617	32		52	ASM5285837v1	False	False
GCA_003015645.1	Pyricularia oryzae	FJ2000-62A	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050074	Oryza sativa	not collected	China: Fujian	2000	38590940	38449869	2940	64979	158	1754	116974	86		51.5	ASM301564v1	False	False
GCA_052856215.1	Pyricularia oryzae	YN642	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000570	Oryza sativa		China: Yunnan	2011-08-12	35957232	35758358	1472	64785	159	587	230251	41		52	ASM5285621v1	False	False
GCA_003016005.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050094	Oryza sativa	not collected	China: Fujian	2007	38311891	38191981	2928	64639	160	1843	103825	94		51.5	ASM301600v1	False	False
GCA_052858255.1	Pyricularia oryzae	S-2	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000600	Oryza sativa		China: Sichuan	2015-07-15	36060762	35819311	1735	64478	164	637	289931	35		52	ASM5285825v1	False	False
GCA_052856975.1	Pyricularia oryzae	YN397	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000536	Oryza sativa		China: Yunnan	2011-08-12	35756961	35643451	1225	64460	158	516	259286	37		52	ASM5285697v1	False	False
GCA_052855885.1	Pyricularia oryzae	YN735	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000582	Oryza sativa		China: Yunnan	1994-08-22	36515767	36181767	2436	64389	167	712	385645	29		52	ASM5285588v1	False	False
GCA_003016475.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050128	Oryza sativa	not collected	China: Taiwan	2005	39025302	38873077	2991	64118	168	1860	121346	84		51.5	ASM301647v1	False	False
GCA_003016905.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050123	Oryza sativa	not collected	China: Taiwan	2012	38673055	38550109	2901	64066	175	1859	115595	93		51.5	ASM301690v1	False	False
GCA_003015805.1	Pyricularia oryzae	FJ43ZB15-68	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050080	Oryza sativa	not collected	China: Fujian	1992	37972307	37843968	2685	63964	173	1599	113843	92		51.5	ASM301580v1	False	False
GCA_024704625.1	Pyricularia oryzae	E1	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143008	Eleucine coracana	neck blast	Ethiopia: Sire	2015	41533915	41533915	1269	63806	202	1269	63806	202		50	ASM2470462v1	False	False
GCA_052858235.1	Pyricularia oryzae	T-2	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000605	Oryza sativa		Thailand	not collected	35856401	35617430	1707	63760	159	627	255674	37		52	ASM5285823v1	False	False
GCA_003015655.1	Pyricularia oryzae	FJ2000-69A	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050075	Oryza sativa	not collected	China: Fujian	2000	38022850	37892111	2723	63758	165	1601	125873	85		51.5	ASM301565v1	False	False
GCA_905109775.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190824					41501021	41494783	3350	63644	180	2979	109057	104		50.5	Assembly of M.oryzae isolate BTTrp_6 genome	False	False
GCA_905109755.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104365382					43194179	43186142	1582	63472	200	969	134160	91		50	Assembly of M.oryzae isolate BTJP_4_2 genome	False	False
GCA_003015565.1	Pyricularia oryzae	FJ11SH-527-1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050070	Oryza sativa	not collected	China: Fujian	2011	38242558	38125580	2789	63259	162	1709	111639	90		51.5	ASM301556v1	False	False
